"species","dataset","tissue","condition","n","ngenes","design","assay","sample_type","accession","citation","license","file","status","note"
"mouse","GSE54651","HYP","All",8,16226,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_HYP_All.rds","ingested",NA
"mouse","GSE54651","KIC","All",8,15344,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_KIC_All.rds","ingested",NA
"mouse","GSE54651","LIV","All",8,14200,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_LIV_All.rds","ingested",NA
"mouse","GSE54651","LUN","All",8,15964,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_LUN_All.rds","ingested",NA
"mouse","GSE54651","MUS","All",8,14819,"active","microarray","in_vivo","GSE54651","Zhang et al. 2014 (PNAS)","CC-BY","mouse/GSE54651_MUS_All.rds","ingested",NA
"mouse","GSE49638","MEF","All",NA,NA,"active","RNAseq","cell_line","GSE49638","Menet et al. 2014","CC-BY","mouse/GSE49638_MEF_All.rds","skipped_low_priority",NA
"mouse","GSE10045","Heart","Atrium_WT",32,46120,"active","microarray","in_vivo","GSE10045","Storch et al. 2007","CC-BY","mouse/GSE10045_Heart_AtriumWT.rds","ingested","ZT from characteristics_ch1.1"
"mouse","GSE10045","Heart","Atrium_CCM-Tg",32,46120,"active","microarray","in_vivo","GSE10045","Storch et al. 2007","CC-BY","mouse/GSE10045_Heart_AtriumCCMTg.rds","ingested","ZT from characteristics_ch1.1"
"mouse","GSE10045","Heart","Ventricle_WT",34,46120,"active","microarray","in_vivo","GSE10045","Storch et al. 2007","CC-BY","mouse/GSE10045_Heart_VentricleWT.rds","ingested","ZT from characteristics_ch1.1"
"mouse","GSE10045","Heart","Ventricle_CCM-Tg",32,46120,"active","microarray","in_vivo","GSE10045","Storch et al. 2007","CC-BY","mouse/GSE10045_Heart_VentricleCCMTg.rds","ingested","ZT from characteristics_ch1.1"
"mouse","GSE34018","Liver","WT",NA,NA,"active","microarray","in_vivo","GSE34018","Cho et al. 2012","CC-BY","mouse/GSE34018_Liver_WT.rds","skipped_low_priority",NA
"mouse","GSE34018","Liver","RevErbDKO",NA,NA,"active","microarray","in_vivo","GSE34018","Cho et al. 2012","CC-BY","mouse/GSE34018_Liver_RevErbDKO.rds","skipped_low_priority",NA
"mouse","GSE10644","Colon","All",18,45101,"active","microarray","in_vivo","GSE10644","Hoogerwerf et al. 2008","CC-BY","mouse/GSE10644_Colon_All.rds","ingested",""
"mouse","GSE78215","Cortex","SleepDep",7,41345,"active","microarray","in_vivo","GSE78215","Curie et al. 2015","CC-BY","mouse/GSE78215_Cortex_SleepDep.rds","ingested",""
"mouse","GSE78215","Cortex","Control",34,41345,"active","microarray","in_vivo","GSE78215","Curie et al. 2015","CC-BY","mouse/GSE78215_Cortex_Control.rds","ingested",""
"mouse","GSE11922","NIH3T3","All",NA,NA,"active","microarray","cell_line","GSE11922","Hughes et al. 2009","CC-BY","mouse/GSE11922_NIH3T3_All.rds","skipped_low_priority",NA
"mouse","GSE11923","Liver","All",48,45101,"active","microarray","in_vivo","GSE11923","Hughes et al. 2009","CC-BY","mouse/GSE11923_Liver_All.rds","ingested",""
"mouse","GSE52333","Liver","Chow",NA,NA,"active","RNAseq","in_vivo","GSE52333","Eckel-Mahan et al. 2013","CC-BY","mouse/GSE52333_Liver_Chow.rds","skipped_low_priority",NA
"mouse","GSE52333","Liver","HFD",NA,NA,"active","RNAseq","in_vivo","GSE52333","Eckel-Mahan et al. 2013","CC-BY","mouse/GSE52333_Liver_HFD.rds","skipped_low_priority",NA
"mouse","GSE73222","Liver","WT",NA,NA,"active","RNAseq","in_vivo","GSE73222","Mukherji et al. 2015","CC-BY","mouse/GSE73222_Liver_WT.rds","skipped_low_priority",NA
"mouse","GSE73222","Liver","Tumor",NA,NA,"active","RNAseq","in_vivo","GSE73222","Mukherji et al. 2015","CC-BY","mouse/GSE73222_Liver_Tumor.rds","skipped_low_priority",NA
"mouse","GSE57830","Liver","WT",NA,NA,"active","microarray","in_vivo","GSE57830","Masri et al. 2014","CC-BY","mouse/GSE57830_Liver_WT.rds","skipped_low_priority",NA
"mouse","GSE57830","Liver","SIRT1-KO",NA,NA,"active","microarray","in_vivo","GSE57830","Masri et al. 2014","CC-BY","mouse/GSE57830_Liver_SIRT1KO.rds","skipped_low_priority",NA
"mouse","GSE57830","Liver","SIRT6-KO",NA,NA,"active","microarray","in_vivo","GSE57830","Masri et al. 2014","CC-BY","mouse/GSE57830_Liver_SIRT6KO.rds","skipped_low_priority",NA
"mouse","GSE11516","Liver","DD",36,46628,"active","microarray","in_vivo","GSE11516","Miller et al. 2007","CC-BY","mouse/GSE11516_Liver_DD.rds","ingested",""
"mouse","GSE27366","Kidney","WT",22,35556,"active","microarray","in_vivo","GSE27366","Zhang et al. 2014","CC-BY","mouse/GSE27366_Kidney_WT.rds","ingested",""
"mouse","GSE27366","Kidney","ClockKO",22,35556,"active","microarray","in_vivo","GSE27366","Zhang et al. 2014","CC-BY","mouse/GSE27366_Kidney_ClockKO.rds","ingested",""
"mouse","GSE35026","Adipose","WT",24,35556,"active","microarray","in_vivo","GSE35026","Paschos et al. 2012","CC-BY","mouse/GSE35026_Adipose_WT.rds","ingested",""
"mouse","GSE35026","Adipose","Bmal1KO",24,35556,"active","microarray","in_vivo","GSE35026","Paschos et al. 2012","CC-BY","mouse/GSE35026_Adipose_Bmal1KO.rds","ingested",""
"mouse","GSE84580","Muscle","All",104,45141,"active","RNAseq","in_vivo","GSE84580","Solanas et al. 2017","CC-BY","mouse/GSE84580_Muscle_All.rds","ingested",""
"mouse","GSE54650","Atlas","All",288,35556,"active","microarray","in_vivo","GSE54650","Zhang et al. 2014","CC-BY","mouse/GSE54650_Atlas_All.rds","ingested",""
"mouse","GSE201207","Brain","All",216,43630,"active","RNAseq","in_vivo","GSE201207","GEO 2022","CC-BY","mouse/GSE201207_Brain_All.rds","ingested",""
"mouse","GSE70497","Liver","All",48,23732,"active","RNAseq","in_vivo","GSE70497","Atger et al. 2015","CC-BY","mouse/GSE70497_Liver_All.rds","ingested",""
"mouse","GSE36975","Brain","All",24,21788,"active","microarray","in_vivo","GSE36975","GEO 2012","CC-BY","mouse/GSE36975_Brain_All.rds","ingested",""
"mouse","GSE38622","SCN","All",13,35557,"active","microarray","in_vivo","GSE38622","Pembroke et al. 2015","CC-BY","mouse/GSE38622_SCN_All.rds","ingested",""
"mouse","GSE39977","Macrophage","All",NA,NA,"active","microarray","in_vivo","GSE39977","Keller et al. 2013","CC-BY","mouse/GSE39977_Macrophage_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE83855","Liver","All",24,24844,"active","RNAseq","in_vivo","GSE83855","Wang et al. 2017","CC-BY","mouse/GSE83855_Liver_All.rds","ingested",""
"mouse","GSE182856","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE182856","GEO 2021","CC-BY","mouse/GSE182856_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE190939","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE190939","GEO 2021","CC-BY","mouse/GSE190939_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE198015","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE198015","GEO 2022","CC-BY","mouse/GSE198015_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE197199","Tissue","All",8,38351,"active","RNAseq","in_vivo","GSE197199","GEO 2022","CC-BY","mouse/GSE197199_Tissue_All.rds","ingested",NA
