"species","dataset","tissue","tissue_canonical","design","condition","n","ngenes","tod_min","tod_max","tod_sd","tod_n_unique","tod_cycles","tod_step_hr","tod_phases","r_median_top300","r_q25_top300","r_q75_top300","prop_rhythmic"
"mouse","GSE54650","White_adipose","White adipose","active","All",24,35556,0,22,7.05,12,1.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.998,1.823,2.346,0.0616
"human","GTEx","Adipose_Subcutaneous","Adipose Subcutaneous","passive","All",548,10672,0.4,23.4,7.77,24,1.12,"irregular","0.43..23.4 (24 phases)",0.652,0.626,0.693,0.5513
"human","GTEx","Muscle_Skeletal","Muscle Skeletal","passive","All",748,8184,0.4,23.4,7.52,23,1.17,"irregular","0.43..23.4 (23 phases)",0.572,0.552,0.601,0.6645
"human","GTEx","Artery_Tibial","Artery Tibial","passive","All",571,9998,0.4,23.4,7.19,24,1.17,"1","0.43..23.4 (24 phases)",0.479,0.449,0.516,0.5119
"human","GTEx","Artery_Coronary","Artery Coronary","passive","All",196,10570,1.4,23.4,4.26,20,1.21,"irregular","1.43..23.4 (20 phases)",0.552,0.523,0.595,0.2064
"human","GTEx","Heart_Atrial_Appendage","Heart Atrial Appendage","passive","All",384,9793,1.4,23.4,4.18,23,1.04,"1","1.43..23.4 (23 phases)",0.459,0.442,0.484,0.4038
"human","GTEx","Adipose_Visceral_Omentum","Adipose Visceral Omentum","passive","All",474,10636,0.4,23.4,5.17,24,1.25,"1","0.43..23.4 (24 phases)",0.348,0.336,0.366,0.2532
"human","GTEx","Uterus","Uterus","passive","All",116,10966,0.4,23.4,6.47,24,1.08,"1","0.43..23.4 (24 phases)",0.625,0.602,0.662,0.2034
"human","GTEx","Vagina","Vagina","passive","All",117,11112,0.4,23.4,7.05,24,1.08,"1","0.43..23.4 (24 phases)",0.587,0.564,0.619,0.1944
"human","GTEx","Breast_Mammary_Tissue","Breast Mammary Tissue","passive","All",348,10971,0.4,23.4,6.71,24,1.21,"1","0.43..23.4 (24 phases)",0.46,0.44,0.492,0.2486
"human","GTEx","Skin_Not_Sun_Exposed_Suprapubic","Skin Not Sun Exposed Suprapubic","passive","All",538,10777,0.4,23.4,6.9,24,1.17,"1","0.43..23.4 (24 phases)",0.48,0.459,0.521,0.4207
"human","GTEx","Minor_Salivary_Gland","Minor Salivary Gland","passive","All",159,11014,0.4,23.4,8.17,24,1.21,"1","0.43..23.4 (24 phases)",0.493,0.446,0.538,0.0867
"human","GTEx","Brain_Cortex","Brain Cortex","passive","All",156,10631,1.4,23.4,2.66,13,0.92,"irregular","1.43..23.4 (13 phases)",0.884,0.856,0.946,0.0084
